k,P_success,P_nobody,P_notbest, 理論式 P_success, 理論式 P_nobody, 理論式 P_notbest
0,0.006,0.0,0.994, -NaN, 0.0, -NaN
1,0.055,0.007,0.938, 0.0516727650753861, 0.01, 0.9383272349246139
2,0.091,0.019,0.89, 0.08334553015077219, 0.02, 0.8966544698492278
3,0.108,0.021,0.871, 0.11001829522615823, 0.03, 0.8599817047738417
4,0.122,0.048,0.83, 0.13335772696821102, 0.04, 0.8266422730317889
5,0.141,0.043,0.816, 0.1541971587102638, 0.05, 0.7958028412897362
6,0.163,0.065,0.772, 0.17303659045231654, 0.06, 0.7669634095476834
7,0.191,0.061,0.748, 0.1902093555277026, 0.07, 0.7397906444722974
8,0.189,0.099,0.712, 0.20595354917451725, 0.08, 0.7140464508254828
9,0.204,0.096,0.7, 0.22044774282133195, 0.09, 0.6895522571786681
10,0.223,0.107,0.67, 0.2338308253570355, 0.1, 0.6661691746429645
11,0.233,0.108,0.659, 0.246213907892739, 0.11, 0.643786092107261
12,0.234,0.143,0.623, 0.25768789951935156, 0.12, 0.6223121004806484
13,0.278,0.124,0.598, 0.26832855781263093, 0.13, 0.601671442187369
14,0.286,0.145,0.569, 0.2781999853366796, 0.14, 0.5818000146633204
15,0.29,0.148,0.562, 0.2873571271464424, 0.15, 0.5626428728535575
16,0.313,0.144,0.543, 0.2958476022895386, 0.16, 0.5441523977104614
17,0.315,0.16,0.525, 0.3037130774326348, 0.17, 0.5262869225673652
18,0.324,0.158,0.518, 0.31099031728161336, 0.18, 0.5090096827183868
19,0.307,0.196,0.497, 0.3177120015750363, 0.19, 0.49228799842496374
20,0.311,0.213,0.476, 0.3239073700789857, 0.2, 0.47609262992101437
21,0.334,0.215,0.451, 0.32960273858293493, 0.21, 0.4603972614170651
22,0.317,0.235,0.448, 0.3348219166106937, 0.22, 0.4451780833893063
23,0.324,0.231,0.445, 0.3395865491839072, 0.23, 0.43041345081609284
24,0.339,0.262,0.399, 0.3439163991484249, 0.24, 0.4160836008515751
25,0.329,0.248,0.423, 0.34782958244627593, 0.25, 0.40217041755372407
26,0.361,0.274,0.365, 0.351342765744127, 0.26, 0.388657234255873
27,0.36,0.246,0.394, 0.3544713336573626, 0.27, 0.3755286663426374
28,0.34,0.284,0.376, 0.35722953120022777, 0.28, 0.3627704687997722
29,0.379,0.29,0.331, 0.3596305858859502, 0.29, 0.35036941411404976
30,0.348,0.31,0.342, 0.36168681298546573, 0.3, 0.3383131870145342
31,0.366,0.309,0.325, 0.3634097067516478, 0.31, 0.32659029324835215
32,0.349,0.315,0.336, 0.36481001987266864, 0.32, 0.3151899801273313
33,0.353,0.342,0.305, 0.36589783299368955, 0.33, 0.3041021670063104
34,0.358,0.356,0.286, 0.36668261581168016, 0.34, 0.29331738418831976
35,0.36,0.372,0.268, 0.36717328098261187, 0.35, 0.28282671901738815
36,0.377,0.361,0.262, 0.36737823186782936, 0.36, 0.27262176813217065
37,0.384,0.352,0.264, 0.36730540497526903, 0.37, 0.26269459502473097
38,0.356,0.404,0.24, 0.3669623078124385, 0.38, 0.2530376921875615
39,0.368,0.414,0.218, 0.36635605275487115, 0.39, 0.24364394724512883
40,0.379,0.403,0.218, 0.36549338744089344, 0.4, 0.23450661255910654
41,0.368,0.408,0.224, 0.3643807221269158, 0.41, 0.22561927787308428
42,0.369,0.434,0.197, 0.3630241543739137, 0.42, 0.21697584562608635
43,0.367,0.427,0.206, 0.3614294913828165, 0.43, 0.20857050861718357
44,0.364,0.443,0.193, 0.3596022702521843, 0.44, 0.20039772974781578
45,0.36,0.446,0.194, 0.3575477763942794, 0.45, 0.19245222360572062
46,0.351,0.468,0.181, 0.35527106031415245, 0.46, 0.18472893968584758
47,0.343,0.482,0.175, 0.3527769529296774, 0.47, 0.1772230470703226
48,0.336,0.488,0.176, 0.3500700795877557, 0.48, 0.1699299204122443
49,0.345,0.494,0.161, 0.34715487291250063, 0.49, 0.16284512708749938
50,0.331,0.514,0.155, 0.34403558460459244, 0.5, 0.15596441539540756
51,0.333,0.531,0.136, 0.34071629629668426, 0.51, 0.14928370370331573
52,0.344,0.519,0.137, 0.33720092955740366, 0.52, 0.14279907044259632
53,0.328,0.55,0.122, 0.3334932551258153, 0.53, 0.13650674487418468
54,0.329,0.546,0.125, 0.3295969014489439, 0.54, 0.13040309855105608
55,0.359,0.533,0.108, 0.3255153625868873, 0.55, 0.12448463741311266
56,0.317,0.585,0.098, 0.3212520055430126, 0.56, 0.11874799445698736
57,0.327,0.549,0.124, 0.3168100770705663, 0.57, 0.11318992292943375
58,0.321,0.575,0.104, 0.3121927100016289, 0.58, 0.10780728999837114
59,0.319,0.601,0.08, 0.307402929139588, 0.59, 0.10259707086041203
60,0.302,0.614,0.084, 0.3024436567521234, 0.6, 0.0975563432478766
61,0.316,0.604,0.08, 0.2973177176979922, 0.61, 0.09268228230200781
62,0.287,0.626,0.087, 0.29202784421763145, 0.62, 0.08797215578236856
63,0.289,0.631,0.08, 0.28657668041469003, 0.63, 0.08342331958530996
64,0.293,0.629,0.078, 0.2809667864530184, 0.64, 0.07903321354698156
65,0.271,0.665,0.064, 0.2752006424913468, 0.65, 0.07479935750865319
66,0.244,0.697,0.059, 0.2692806523758291, 0.66, 0.07071934762417087
67,0.259,0.677,0.064, 0.26320914710879617, 0.67, 0.06679085289120379
68,0.242,0.709,0.049, 0.25698838811042, 0.68, 0.06301161188957993
69,0.25,0.702,0.048, 0.25062057028851437, 0.69, 0.05937942971148569
70,0.252,0.696,0.052, 0.24410782493037692, 0.7, 0.05589217506962313
71,0.205,0.749,0.046, 0.23745222242938227, 0.71, 0.052547777570617765
72,0.246,0.717,0.037, 0.2306557748579651, 0.72, 0.04934422514203493
73,0.264,0.705,0.031, 0.2237204383976591, 0.73, 0.046279561602340924
74,0.253,0.714,0.033, 0.21664811563598313, 0.74, 0.04335188436401688
75,0.231,0.743,0.026, 0.2094406577391721, 0.75, 0.04055934226082791
76,0.21,0.747,0.043, 0.2020998665090277, 0.76, 0.03790013349097229
77,0.192,0.78,0.028, 0.19462749633151488, 0.77, 0.0353725036684851
78,0.191,0.781,0.028, 0.18702525602413198, 0.78, 0.032974743975868
79,0.178,0.786,0.036, 0.17929481058854393, 0.79, 0.03070518941145603
80,0.183,0.796,0.021, 0.17143778287447486, 0.8, 0.02856221712552509
81,0.163,0.818,0.019, 0.16345575516040584, 0.81, 0.02654424483959411
82,0.159,0.826,0.015, 0.15535027065621332, 0.82, 0.02464972934378673
83,0.158,0.824,0.018, 0.14712283493250858, 0.83, 0.02287716506749146
84,0.147,0.837,0.016, 0.13877491728109304, 0.84, 0.021225082718906996
85,0.142,0.847,0.011, 0.1303079520106299, 0.85, 0.01969204798937013
86,0.137,0.855,0.008, 0.12172333968134319, 0.86, 0.018276660318656823
87,0.115,0.873,0.012, 0.11302244828228904, 0.87, 0.016977551717710967
88,0.114,0.881,0.005, 0.10420661435449925, 0.88, 0.015793385645500743
89,0.117,0.88,0.003, 0.0952771440630731, 0.89, 0.01472285593692689
90,0.072,0.925,0.003, 0.08623531422108516, 0.9, 0.01376468577891482
91,0.089,0.907,0.004, 0.07708237326798609, 0.91, 0.012917626732013882
92,0.085,0.911,0.004, 0.06781954220499693, 0.92, 0.012180457795003027
93,0.06,0.938,0.002, 0.058448015489833846, 0.93, 0.011551984510166105
94,0.052,0.947,0.001, 0.04896896189295034, 0.94, 0.011031038107049716
95,0.04,0.96,0.0, 0.03938352531734343, 0.95, 0.010616474682656613
96,0.05,0.949,0.001, 0.029692825583841783, 0.96, 0.010307174416158253
97,0.023,0.976,0.001, 0.01989795918367347, 0.97, 0.010102040816326558
98,0.023,0.977,0.0, 0.009999999999999998, 0.98, 0.01000000000000002
99,0.015,0.985,0.0, 0.0, 0.99, 0.010000000000000009
