k,P_success,P_nobody,P_notbest, 理論式 P_success, 理論式 P_nobody, 理論式 P_notbest
0,0.0,0.0,1.0, -NaN, 0.0, -NaN
1,0.0,0.0,1.0, 0.00012090126129763335, 1.0e-5, 0.9998690987387024
2,0.0,0.0,1.0, 0.0002218025225952674, 2.0e-5, 0.9997581974774047
3,0.001,0.0,0.999, 0.00031770378389290086, 3.0e-5, 0.9996522962161071
4,0.0,0.0,1.0, 0.00041027171185720104, 4.0e-5, 0.9995497282881428
5,0.001,0.0,0.999, 0.0005003396398215008, 5.0e-5, 0.9994496603601785
6,0.0,0.0,1.0, 0.0005884075677857985, 6.0e-5, 0.9993515924322143
7,0.0,0.0,1.0, 0.0006748088290834326, 7.0e-5, 0.9992551911709165
8,0.0,0.0,1.0, 0.0007597815189524902, 8.0e-5, 0.9991602184810475
9,0.002,0.0,0.998, 0.0008435042088215517, 9.0e-5, 0.9990664957911785
10,0.001,0.0,0.999, 0.0009261157875794994, 0.0001, 0.9989738842124205
11,0.0,0.0,1.0, 0.0010077273663374547, 0.00011, 0.9988822726336625
12,0.001,0.0,0.999, 0.0010884298541863184, 0.00012, 0.9987915701458137
13,0.001,0.0,0.999, 0.0011682990087018388, 0.00013, 0.9987017009912982
14,0.0,0.0,1.0, 0.001247398932448136, 0.00014, 0.9986126010675518
15,0.002,0.0,0.998, 0.0013257845704801445, 0.00015, 0.9985242154295199
16,0.0,0.0,1.0, 0.0014035035418454873, 0.00016, 0.9984364964581545
17,0.001,0.0,0.999, 0.0014805975132108292, 0.00017, 0.9983494024867892
18,0.0,0.001,0.999, 0.0015571032492820596, 0.00018, 0.998262896750718
19,0.001,0.0,0.999, 0.001633053429797741, 0.00019, 0.9981769465702023
20,0.001,0.0,0.999, 0.0017084772945239301, 0.0002, 0.9980915227054761
21,0.0,0.0,1.0, 0.0017834011592501255, 0.00021, 0.9980065988407498
22,0.0,0.0,1.0, 0.0018578488335001264, 0.00022, 0.9979221511664998
23,0.001,0.0,0.999, 0.001931841962295588, 0.00023, 0.9978381580377045
24,0.001,0.001,0.998, 0.002005400308482355, 0.00024, 0.9977545996915176
25,0.001,0.0,0.999, 0.002078541988002457, 0.00025, 0.9976714580119975
26,0.002,0.0,0.998, 0.002151283667522555, 0.00026, 0.9975887163324774
27,0.002,0.0,0.998, 0.002223640731658031, 0.00027, 0.997506359268342
28,0.001,0.0,0.999, 0.002295627425423133, 0.00028, 0.997424372574577
29,0.001,0.001,0.998, 0.00236725697633111, 0.00029, 0.9973427430236689
30,0.006,0.0,0.994, 0.0024385416996528736, 0.0003, 0.9972614583003472
31,0.0,0.0,1.0, 0.0025094930896413206, 0.00031, 0.9971805069103586
32,0.002,0.002,0.996, 0.0025801218989845993, 0.00032, 0.9970998781010154
33,0.0,0.001,0.999, 0.0026504382083278734, 0.00033, 0.9970195617916721
34,0.004,0.0,0.996, 0.0027204514873681246, 0.00034, 0.9969395485126319
35,0.004,0.001,0.995, 0.002790170648761306, 0.00035, 0.9968598293512387
36,0.003,0.0,0.997, 0.00285960409586877, 0.00036, 0.9967803959041313
37,0.005,0.0,0.995, 0.002928759765198456, 0.00037, 0.9967012402348016
38,0.003,0.0,0.997, 0.0029976451642578744, 0.00038, 0.9966223548357421
39,0.004,0.002,0.994, 0.0030662674054225555, 0.00039, 0.9965437325945774
40,0.003,0.0,0.997, 0.003134633236330826, 0.0004, 0.9964653667636693
41,0.004,0.003,0.993, 0.0032027490672390966, 0.00041, 0.9963872509327609
42,0.002,0.001,0.997, 0.003270620995708343, 0.00042, 0.9963093790042917
43,0.004,0.001,0.995, 0.0033382548289394927, 0.00043, 0.9962317451710605
44,0.004,0.0,0.996, 0.00340565610403111, 0.00044, 0.9961543438959689
45,0.005,0.001,0.994, 0.003472830106395451, 0.00045, 0.9960771698936046
46,0.001,0.001,0.998, 0.003539781886537571, 0.00046, 0.9960002181134624
47,0.005,0.0,0.995, 0.0036065162753753425, 0.00047, 0.9959234837246247
48,0.002,0.0,0.998, 0.0036730378982556696, 0.00048, 0.9958469621017443
49,0.005,0.0,0.995, 0.0037393511878026616, 0.00049, 0.9957706488121973
50,0.006,0.001,0.993, 0.0038054603957170005, 0.0005, 0.995694539604283
51,0.002,0.0,0.998, 0.003871369603631339, 0.00051, 0.9956186303963687
52,0.004,0.0,0.996, 0.003937082733114306, 0.00052, 0.9955429172668857
53,0.001,0.001,0.998, 0.004002603554904968, 0.00053, 0.995467396445095
54,0.005,0.001,0.994, 0.004067935697450343, 0.00054, 0.9953920643025497
55,0.003,0.0,0.997, 0.004133082654810534, 0.00055, 0.9953169173451895
56,0.0,0.001,0.999, 0.004198047793988907, 0.00056, 0.9952419522060111
57,0.003,0.0,0.997, 0.004262834361738713, 0.00057, 0.9951671656382614
58,0.003,0.0,0.997, 0.004327445490892023, 0.00058, 0.9950925545091079
59,0.001,0.002,0.997, 0.004391884206252231, 0.00059, 0.9950181157937478
60,0.005,0.002,0.993, 0.004456153430087016, 0.0006, 0.994943846569913
61,0.002,0.0,0.998, 0.004520255987255135, 0.00061, 0.9948697440127449
62,0.004,0.002,0.994, 0.004584194609997023, 0.00062, 0.994795805390003
63,0.01,0.002,0.988, 0.004647971942416333, 0.00063, 0.9947220280575837
64,0.004,0.003,0.993, 0.004711590544676912, 0.00064, 0.9946484094553231
65,0.004,0.0,0.996, 0.004775052896937489, 0.00065, 0.9945749471030625
66,0.003,0.0,0.997, 0.004838361403044219, 0.00066, 0.9945016385969558
67,0.003,0.0,0.997, 0.004901518393999435, 0.00067, 0.9944284816060006
68,0.005,0.003,0.992, 0.004964526131223306, 0.00068, 0.9943554738687767
69,0.002,0.0,0.998, 0.005027386809623647, 0.00069, 0.9942826131903764
70,0.004,0.0,0.996, 0.00509010256048776, 0.0007, 0.9942098974395122
71,0.011,0.0,0.989, 0.0051526754542090165, 0.00071, 0.994137324545791
72,0.003,0.002,0.995, 0.005215107502859846, 0.00072, 0.9940648924971401
73,0.006,0.002,0.992, 0.00527740066262179, 0.00073, 0.9939925993373782
74,0.005,0.001,0.994, 0.005339556836082363, 0.00074, 0.9939204431639177
75,0.008,0.001,0.991, 0.0054015778744078, 0.00075, 0.9938484221255922
76,0.011,0.002,0.987, 0.005463465579399906, 0.00076, 0.9937765344206001
77,0.004,0.001,0.995, 0.005525221705444642, 0.00077, 0.9937047782945553
78,0.005,0.0,0.995, 0.0055868479613595074, 0.00078, 0.9936331520386404
79,0.006,0.002,0.992, 0.005648346012146169, 0.00079, 0.9935616539878539
80,0.003,0.0,0.997, 0.0057097174806543475, 0.0008, 0.9934902825193457
81,0.006,0.002,0.992, 0.005770963949162529, 0.00081, 0.9934190360508375
82,0.003,0.002,0.995, 0.0058320869608805845, 0.00082, 0.9933479130391194
83,0.008,0.001,0.991, 0.005893088021379129, 0.00083, 0.9932769119786209
84,0.005,0.0,0.995, 0.005953968599949963, 0.00084, 0.99320603140005
85,0.006,0.001,0.993, 0.006014730130901747, 0.00085, 0.9931352698690983
86,0.004,0.001,0.995, 0.00607537401479471, 0.00086, 0.9930646259852053
87,0.006,0.0,0.994, 0.006135901619617906, 0.00087, 0.9929940983803821
88,0.005,0.001,0.994, 0.006196314281912365, 0.00088, 0.9929236857180876
89,0.005,0.001,0.994, 0.006256613307843187, 0.00089, 0.9928533866921568
90,0.006,0.001,0.993, 0.006316799974223449, 0.0009, 0.9927832000257766
91,0.003,0.002,0.995, 0.006376875529492601, 0.00091, 0.9927131244705074
92,0.002,0.003,0.995, 0.006436841194651863, 0.00092, 0.9926431588053481
93,0.01,0.0,0.99, 0.006496698164158949, 0.00093000000000000005, 0.992573301835841
94,0.008,0.002,0.99, 0.006556447606784311, 0.00094, 0.9925035523932156
95,0.005,0.002,0.993, 0.006616090666430951, 0.00095, 0.992433909333569
96,0.006,0.0,0.994, 0.0066756284629196985, 0.00096, 0.9923643715370803
97,0.005,0.001,0.994, 0.006735062092741782, 0.00097, 0.9922949379072582
98,0.006,0.0,0.994, 0.006794392629780355, 0.00098, 0.9922256073702197
99,0.006,0.001,0.993, 0.006853621126002607, 0.00099, 0.9921563788739973
100,0.005,0.0,0.995, 0.006912748612123848, 0.001, 0.9920872513878761
101,0.006,0.001,0.993, 0.006971776098245091, 0.00101, 0.992018223901755
102,0.006,0.0,0.994, 0.007030704574465341, 0.00102, 0.9919492954255347
103,0.013,0.002,0.985, 0.0070895350114699015, 0.00103, 0.9918804649885301
104,0.016,0.002,0.982, 0.007148268361095824, 0.00104, 0.9918117316389041
105,0.008,0.003,0.989, 0.007206905556875594, 0.00105, 0.9917430944431244
106,0.006,0.001,0.993, 0.007265447514560125, 0.00106, 0.9916745524854399
107,0.009,0.0,0.991, 0.00732389513262201, 0.00107, 0.991606104867378
108,0.008,0.001,0.991, 0.007382249292739976, 0.00108, 0.99153775070726
109,0.002,0.0,0.998, 0.007440510860265346, 0.00109, 0.9914694891397346
110,0.011,0.0,0.989, 0.007498680684671453, 0.0011, 0.9914013193153286
111,0.004,0.0,0.996, 0.007556759599986649, 0.00111, 0.9913332404000132
112,0.008,0.001,0.991, 0.0076147484252117505, 0.00112, 0.9912652515747883
113,0.006,0.003,0.991, 0.0076726479647225695, 0.00113, 0.9911973520352775
114,0.009,0.002,0.989, 0.007730459008658171, 0.00114, 0.9911295409913418
115,0.009,0.001,0.99, 0.00778818233329552, 0.00115, 0.9910618176667045
116,0.004,0.001,0.995, 0.007845818701411131, 0.00116, 0.9909941812985888
117,0.005,0.001,0.994, 0.007903368862630194, 0.00117, 0.9909266311373698
118,0.007,0.0,0.993, 0.007960833553763787, 0.00118, 0.9908591664462363
119,0.006,0.003,0.991, 0.008018213499134662, 0.00119, 0.9907917865008653
120,0.008,0.001,0.991, 0.0080755094108921, 0.0012, 0.9907244905891079
121,0.014,0.002,0.984, 0.008132721989316206, 0.00121, 0.9906572780106837
122,0.004,0.001,0.995, 0.008189851923112208, 0.00122, 0.9905901480768878
123,0.008,0.0,0.992, 0.008246899889695099, 0.00123, 0.990523100110305
124,0.008,0.001,0.991, 0.008303866555464978, 0.00124, 0.990456133444535
125,0.011,0.0,0.989, 0.008360752576073568, 0.00125, 0.9903892474239264
126,0.008,0.003,0.989, 0.008417558596682155, 0.00126, 0.9903224414033178
127,0.005,0.003,0.992, 0.008474285252211377, 0.00127, 0.9902557147477886
