k,P_success,P_nobody,P_notbest, 理論式 P_success, 理論式 P_nobody, 理論式 P_notbest
0,0.001,0.0,0.999, -NaN, 0.0, -NaN
1,0.004,0.001,0.995, 0.007483469859549343, 0.001, 0.9915165301404506
2,0.007,0.001,0.992, 0.012966939719098684, 0.002, 0.9850330602809013
3,0.019,0.002,0.979, 0.017950409578648015, 0.003, 0.979049590421352
4,0.022,0.006,0.972, 0.02260054610486402, 0.004, 0.9733994538951359
5,0.035,0.004,0.961, 0.027000682631080037, 0.005, 0.96799931736892
6,0.039,0.003,0.958, 0.031200819157296066, 0.006, 0.9627991808427039
7,0.046,0.006,0.948, 0.03523428901684541, 0.007, 0.9577657109831546
8,0.055,0.007,0.938, 0.0391249017335376, 0.008, 0.9528750982664624
9,0.042,0.011,0.947, 0.042890514450229816, 0.009, 0.9481094855497701
10,0.036,0.008,0.956, 0.04654501605581089, 0.01, 0.9434549839441891
11,0.049,0.012,0.939, 0.05009951766139193, 0.011, 0.938900482338608
12,0.052,0.007,0.941, 0.05356311017606391, 0.012, 0.9344368898239361
13,0.048,0.019,0.933, 0.05694336935740253, 0.013, 0.9300566306425975
14,0.058,0.016,0.926, 0.06024670546181814, 0.014, 0.9257532945381819
15,0.065,0.015,0.92, 0.06347861299480519, 0.015, 0.9215213870051948
16,0.078,0.013,0.909, 0.06664385386112548, 0.016, 0.9173561461388745
17,0.08,0.013,0.907, 0.06974659472744588, 0.017, 0.913253405272554
18,0.081,0.018,0.901, 0.07279051206435441, 0.018, 0.9092094879356456
19,0.075,0.015,0.91, 0.07577887384570749, 0.019, 0.9052211261542925
20,0.079,0.018,0.903, 0.07871460404811315, 0.02, 0.9012853959518868
21,0.092,0.014,0.894, 0.08160033425051881, 0.021, 0.8973996657494812
22,0.089,0.025,0.886, 0.08443844540530542, 0.022, 0.8935615545946946
23,0.09,0.022,0.888, 0.08723110201463749, 0.023, 0.8897688979853625
24,0.092,0.022,0.886, 0.0899802803631, 0.024, 0.8860197196369
25,0.092,0.028,0.88, 0.09268779204489584, 0.025, 0.8823122079551041
26,0.097,0.026,0.877, 0.09535530372669167, 0.026, 0.8786446962733083
27,0.097,0.024,0.879, 0.09798435387002596, 0.027, 0.8750156461299741
28,0.089,0.022,0.889, 0.10057636697632319, 0.028, 0.8714236330236768
29,0.107,0.032,0.861, 0.10313266579690615, 0.029, 0.8678673342030938
30,0.108,0.027,0.865, 0.10565448185886844, 0.03, 0.8643455181411315
31,0.105,0.025,0.87, 0.10814296458749739, 0.031, 0.8608570354125026
32,0.101,0.035,0.864, 0.1105991892516102, 0.032, 0.8574008107483898
33,0.108,0.035,0.857, 0.113024163915723, 0.033, 0.853975836084277
34,0.113,0.036,0.851, 0.1154188355495328, 0.034, 0.8505811644504672
35,0.12,0.032,0.848, 0.11778409541863671, 0.035, 0.8472159045813632
36,0.124,0.026,0.85, 0.12012078385916916, 0.036, 0.8438792161408308
37,0.121,0.038,0.841, 0.12242969452192384, 0.037, 0.8405703054780761
38,0.141,0.042,0.817, 0.12471157815765152, 0.038, 0.8372884218423484
39,0.127,0.042,0.831, 0.12696714600390552, 0.039, 0.8340328539960944
40,0.14,0.035,0.825, 0.12919707282451848, 0.04, 0.8308029271754815
41,0.14,0.032,0.828, 0.13140199964513144, 0.041, 0.8275980003548685
42,0.143,0.053,0.804, 0.1335825362218419, 0.042, 0.824417463778158
43,0.112,0.061,0.827, 0.1357392632747429, 0.043, 0.8212607367252571
44,0.144,0.046,0.81, 0.13787273451369045, 0.044, 0.8181272654863095
45,0.124,0.041,0.835, 0.1399834784799107, 0.045, 0.8150165215200893
46,0.142,0.046,0.812, 0.14207200022390873, 0.046, 0.8119279997760912
47,0.144,0.046,0.81, 0.14413878283747192, 0.047, 0.808861217162528
48,0.133,0.039,0.828, 0.1461842888552905, 0.048, 0.8058157111447095
49,0.138,0.041,0.821, 0.14820896153977572, 0.049, 0.8027910384602243
50,0.156,0.042,0.802, 0.15021322606099563, 0.05, 0.7997867739390043
51,0.132,0.054,0.814, 0.1521974905822155, 0.051, 0.7968025094177844
52,0.181,0.048,0.771, 0.15416214726029814, 0.052, 0.7938378527397019
53,0.145,0.057,0.798, 0.15610757316915005, 0.053, 0.7908924268308499
54,0.146,0.062,0.792, 0.15803413115347362, 0.054, 0.7879658688465263
55,0.17,0.058,0.772, 0.1599421706192787, 0.055, 0.7850578293807212
56,0.179,0.054,0.767, 0.16183202826690196, 0.056, 0.782167971733098
57,0.148,0.062,0.79, 0.16370402877166812, 0.057, 0.7792959712283318
58,0.184,0.064,0.752, 0.1655584854167851, 0.058, 0.7764415145832149
59,0.177,0.059,0.764, 0.16739570068259174, 0.059, 0.7736042993174084
60,0.172,0.063,0.765, 0.16921596679585604, 0.06, 0.7707840332041439
